"migration_name","started_at","finished_at","rolled_back_at","applied_steps_count"
"20260614_add_paylink_gateway_fields","2026-06-12 16:50:11.579421+00","2026-06-12 16:50:11.579421+00",,0
"20260613_add_hash_columns","2026-06-13 06:12:17.812019+00","2026-06-13 06:12:22.293879+00",,1
"20260621000200_transaction_spine","2026-06-21 05:11:20.612105+00",,"2026-06-21 05:12:45.700856+00",0
"20260621000200_transaction_spine","2026-06-21 05:13:06.075456+00",,"2026-06-21 06:59:37.559478+00",0
"20260621000200_transaction_spine","2026-06-21 06:59:51.864842+00","2026-06-21 06:59:59.719319+00",,1
